digit_count,Year,month,mean_monthly_temp,mean_monthly_rainfall,littoral_mean_monthly_ndvi,littoral_vegetation_area,mean_monthly_ndbi,Bare_soil_area,mean_monthly_ndwi,water_area,hyacinth_mean_monthly_ndvi,hyacinth_area
272,2006,9,29,3.89,0.18,649.728,-0.03,246.1734,0.03,0,-0.01,11.4093
273,2006,10,33,3.77,0.22,906.1389,-0.03,340.5789,0.03,0,-0.01,10.0701
274,2006,11,17,11.54,0.16,682.1883,-0.08,52.7454,0.01,0.5391,0,9.2808
275,2006,12,17,8.25,0.13,606.969,-0.14,39.5874,0.03,1.3113,-0.02,15.2865
276,2007,1,28,3.29,0.32,763.5843,-0.13,6.3243,0.04,0,-0.05,9.0954
277,2007,2,17,4.12,0.2,783.369,-0.09,28.2312,0.04,12.8178,-0.06,9.9324
278,2007,3,27,5.58,0.23,930.5271,-0.06,122.6601,-0.01,0.0027,0.02,25.9623
279,2007,4,-32,5.18,0.01,372.2076,-0.21,12.3057,0.09,67.6737,-0.1,15.5034
280,2007,5,31,5.43,0.29,878.0274,-0.11,40.8195,0,0.3861,0.02,21.3696
281,2007,6,3,3.86,0.08,156.3867,-0.12,4.3893,0,0,0,0
282,2007,7,20,3.97,0.26,885.9015,-0.11,14.5908,0.01,0,0.02,18.7245
283,2007,8,19,3.38,0.09,116.496,-0.06,23.8887,0,0,0,0
284,2007,9,8,5,0.16,742.7295,-0.06,86.9697,0,7.7769,0,8.6787
285,2007,10,31,2.97,0.25,958.4253,-0.06,171.3807,0.04,0.0864,-0.02,19.1349
286,2007,11,25,3.72,0.26,840.4182,-0.07,114.1335,0.03,0,-0.01,15.2766
287,2007,12,32,2.41,0.24,964.8891,-0.05,179.2467,0.02,0.783,-0.01,14.3334
288,2008,1,19,1.43,0.14,778.1823,-0.06,200.7432,0.04,3.5091,-0.01,10.4535
289,2008,2,0,2.41,0,0,0,0,0,0,0,0
290,2008,3,39,5.41,0.18,860.7942,0.02,616.0545,0.04,0,-0.03,7.002
291,2008,4,33,5.91,0.29,856.1016,-0.1,44.9946,0.04,0,-0.02,8.8947
292,2008,5,14,5.64,0.29,870.4485,-0.13,16.3917,0.02,0,-0.01,6.3126
293,2008,6,0,3.29,0,0,0,0,0,0,0,0
294,2008,7,0,4.07,0,0,0,0,0,0,0,0
295,2008,8,18,4.03,0.19,690.5097,-0.07,50.8752,0.01,4.6044,-0.02,2.2707
296,2008,9,23,4.3,0.21,851.6403,-0.09,92.8143,0.04,0,-0.03,8.2539
297,2008,10,33,5.61,0.32,134.9442,-0.1,13.8285,0,0,0,0
298,2008,11,32,4.35,0.33,145.1295,-0.12,4.7529,0,0,0,0
299,2008,12,23,1.6,0.15,777.4542,-0.05,178.2666,0.06,13.788,-0.05,5.5863
300,2009,1,11,2.57,0.11,666.6354,-0.06,166.4163,0.02,4.1508,-0.03,3.0123
301,2009,2,36,1.88,0.2,886.7925,0,477.5292,0.06,0.2457,-0.05,8.1225
302,2009,3,12,2.23,0.08,612.0936,-0.01,329.6718,0.06,11.5983,-0.06,4.6332
303,2009,4,27,8.11,0.25,896.9517,-0.07,97.4457,0.05,0,-0.04,8.4645
304,2009,5,0,5.53,0.07,454.7358,-0.14,7.2765,0.03,0.0027,-0.02,8.0235
305,2009,6,27,1.77,0.3,164.3742,-0.11,13.2282,0,0,0,0
306,2009,7,30,1.54,0.23,177.7842,-0.06,41.4036,0,0,0,0
307,2009,8,0,3.17,0,0,0,0,0,0,0,0
308,2009,9,24,5.83,0.15,744.2514,-0.04,277.8948,0.03,1.8657,-0.03,5.3694
309,2009,10,9,2.99,-0.05,334.8117,0.02,424.6731,0.14,62.3745,-0.17,1.1664
310,2009,11,31,4.24,0.26,768.9393,-0.08,93.7026,0.05,0.1485,-0.04,9.8622
311,2009,12,6,5.82,0.16,705.4758,-0.11,29.3355,-0.01,6.1191,0.01,9.4662
312,2010,1,34,2.35,0.25,825.9417,-0.07,90.7839,0.05,0,-0.04,7.452
313,2010,2,41,5.81,0.22,743.4612,-0.03,250.2099,0.05,0,-0.03,9.1854
314,2010,3,16,6.52,0.14,705.3876,-0.08,45.0036,0.04,17.0838,-0.04,9.6633
315,2010,4,22,7.08,0.29,903.7872,-0.11,10.9647,0.02,0,0,12.8052
316,2010,5,29,7.98,0.32,845.7003,-0.14,4.7052,0.03,0,-0.03,11.7405
317,2010,6,32,4.05,0.29,803.1042,-0.11,32.5278,0.04,0.4482,-0.02,12.7737
318,2010,7,21,2.08,0.07,580.5864,-0.05,178.5222,0.07,22.6998,-0.07,6.2676
319,2010,8,13,3.73,0.07,520.7292,-0.02,210.3147,0.07,24.0642,-0.07,3.3138
320,2010,9,20,4.74,0.2,196.9758,-0.06,33.1479,0,0,0,0
321,2010,10,21,4.43,0.19,800.5284,-0.08,77.6583,0.03,7.2252,-0.03,8.8299
322,2010,11,31,2.71,0.27,898.875,-0.08,141.2865,0.04,0,-0.02,16.3251
323,2010,12,34,3.45,0.27,806.0886,-0.06,149.2317,0.04,0,-0.03,15.5835
324,2011,1,30,1.58,0.19,709.4043,-0.03,244.3464,0.07,18.0126,-0.08,8.9235
325,2011,2,-10,1.93,-0.03,345.2517,-0.05,278.7093,0.12,49.4865,-0.12,4.8105
326,2011,3,15,3.96,0.16,100.6902,-0.04,24.2559,0,0,0,0
327,2011,4,7,4.27,0.19,930.2724,-0.07,98.4411,0.02,0.729,-0.01,9.954
328,2011,5,-58,6.05,0.05,519.5286,-0.2,2.3202,0.17,67.4847,-0.21,2.5155
329,2011,6,26,4,0.19,681.2289,-0.1,59.2029,0.06,0.3276,-0.03,9.6732
330,2011,7,32,2.63,0.23,915.1488,-0.06,198.0378,0.05,0.8766,-0.03,9.882
331,2011,8,7,6.52,0,432.9099,-0.03,204.2775,0.11,42.9084,-0.13,3.9816
332,2011,9,31,4.62,0.3,133.461,-0.1,8.9055,0,0,0,0
333,2011,10,-23,5.49,0.17,127.1133,-0.16,0.0486,0,0,0,0
334,2011,11,1,8.31,0.09,582.5727,-0.11,32.5125,0.02,7.8012,-0.02,9.3114
335,2011,12,21,3.03,0.15,645.7482,-0.09,88.7958,0.04,0.5202,-0.02,12.2931
336,2012,1,34,0.56,0.28,900.207,-0.08,71.2467,0.03,0,-0.01,11.7018
337,2012,2,35,1.38,0.17,919.5138,0,592.2189,0.06,0.027,-0.06,6.399
338,2012,3,33,2.79,0.15,696.0123,0.03,601.8597,0.04,0.0117,-0.04,5.6475
339,2012,4,17,10.87,0.13,614.5623,-0.01,347.7978,0.03,0.1908,-0.02,8.0865
340,2012,5,32,6.85,0.32,906.6582,-0.13,19.0593,0.04,0,-0.04,12.3822
341,2012,6,27,5.9,0.3,898.6437,-0.14,9.1917,0,0,0.01,18.6795
342,2012,7,23,2.92,0.22,761.229,-0.1,29.8224,0.06,22.8258,-0.07,9.9999
343,2012,8,-8,4.02,-0.14,33.1425,0,74.7018,0,0,0,0
344,2012,9,21,7.62,0.15,699.4593,-0.07,157.8402,0.03,6.1236,-0.02,23.8221
345,2012,10,35,4.9,0.26,1003.9437,-0.06,212.6574,0.01,0,0.01,37.449
346,2012,11,5,6.7,0.25,853.3485,-0.12,10.278,-0.02,0,0.04,31.4667
347,2012,12,30,5.76,0.29,1004.2515,-0.09,78.5448,0.01,0,0,35.2188
348,2013,1,32,1.98,0.3,1000.0161,-0.1,25.6491,0.04,0.0009,-0.03,21.6936
349,2013,2,35,1.73,0.26,976.9527,-0.06,155.3004,0.05,0,-0.04,15.5727
350,2013,3,20,6.75,0.11,648.4248,-0.05,186.03,0.09,22.3416,-0.09,6.6654
351,2013,4,-2,10.65,0.12,206.8884,-0.11,4.68,0,0,0,0
352,2013,5,30,5.24,0.32,896.8149,-0.13,8.6922,0.05,0,-0.04,11.4786
353,2013,6,30,3.09,0.27,880.3431,-0.1,31.8528,0.04,0.1062,-0.02,9.9684
354,2013,7,33,2.17,0.24,896.0967,-0.04,270.7389,0.05,0,-0.03,10.2591
355,2013,8,24,3.77,0.13,664.9128,-0.04,250.3566,0.06,3.1086,-0.04,7.0596
356,2013,9,33,5.33,0.22,855.3186,-0.04,292.0653,0.05,0,-0.04,6.9759
357,2013,10,7,3.95,0.19,860.5368,-0.11,48.8961,0.02,1.9854,-0.02,5.4945
358,2013,11,18,4.99,0.17,802.7433,-0.1,83.2203,0.09,33.5457,-0.09,3.8925
359,2013,12,24,2.96,0.24,890.1495,-0.09,56.3211,0.04,0,-0.03,8.064
360,2014,1,27,1.95,0.21,912.8646,-0.07,141.318,0.04,0.1053,-0.03,7.8768
361,2014,2,-4,3.81,0.12,664.9983,-0.08,104.6862,0.01,0,-0.01,5.1138
362,2014,3,-1,4.57,0.07,491.4135,-0.08,105.5781,0.02,2.3796,-0.03,2.3256
363,2014,4,4,4.32,0.2,172.3221,-0.1,13.4766,0,0,0,0
364,2014,5,21,7.75,0.23,768.1266,-0.11,23.3388,0.03,0.0513,0,15.4026
365,2014,6,9,4.13,0.22,772.7211,-0.11,3.9132,0,0.5067,0,4.8753
366,2014,7,31,3.04,0.25,1001.1969,-0.08,155.9079,0.06,0,-0.05,6.6483
367,2014,8,22,7.01,0.14,752.4396,-0.06,134.8974,0.08,15.4818,-0.08,5.3568
368,2014,9,30,4.49,0.23,794.0511,-0.06,164.7648,0.04,0.0162,-0.03,3.4191
369,2014,10,28,5.58,0.22,836.3385,-0.08,84.5559,0.05,0.0414,-0.04,7.1271
370,2014,11,23,4.02,0.26,991.08,-0.1,51.7194,0.04,0,-0.03,7.7688
371,2014,12,-7,3.21,0.16,822.1581,-0.12,40.0374,0.02,2.7396,-0.01,5.1768
372,2015,1,23,0.39,0.09,622.0071,-0.03,238.5945,0.05,1.1952,-0.04,5.0112
373,2015,2,40,1.52,0.16,805.7556,0.02,613.026,0.07,0.1692,-0.06,4.7421
374,2015,3,45,3.03,0.14,737.7084,0.05,737.8695,0.07,0,-0.06,5.9922
375,2015,4,-6,10.1,0.06,539.6283,-0.1,44.9262,0.05,9.3429,-0.05,3.0609
376,2015,5,13,8.39,0.24,902.9871,-0.12,4.2084,0.03,0.0045,-0.02,8.7849
377,2015,6,18,5.42,0.24,916.1631,-0.13,6.6465,0,0.954,0,7.7886
378,2015,7,24,1.77,0.24,946.7541,-0.1,36.5733,0.05,0,-0.05,6.9093
379,2015,8,31,1.62,0.23,983.1699,-0.05,256.7043,0.05,1.3032,-0.04,7.6734
380,2015,9,24,4.6,0.15,720.8541,-0.04,273.8547,0.06,21.9258,-0.08,1.3644
381,2015,10,6,7.13,0.06,598.3191,-0.05,180.6732,0.07,20.8746,-0.07,3.483
382,2015,11,6,7.03,0.13,680.8977,-0.14,4.4613,0.05,12.9492,-0.06,2.7981
383,2015,12,10,6.41,0.15,638.6481,-0.15,1.7172,0.04,16.5969,-0.05,5.5728
384,2016,1,29,2.85,0.26,864.6111,-0.1,24.6114,0.05,0,-0.03,7.3269
385,2016,2,30,1.19,0.22,838.8711,-0.05,150.3369,0.06,0,-0.04,8.9334
386,2016,3,33,3.25,0.17,835.3512,-0.04,326.9475,0.07,0.0666,-0.06,6.5448
387,2016,4,-2,12.04,0,324.3222,-0.06,88.1289,0.04,25.9911,-0.07,0.2025
388,2016,5,5,7.21,0.24,948.7746,-0.13,2.5281,0.03,8.7714,-0.03,8.0316
389,2016,6,-14,2.58,0.1,112.3614,-0.12,0.2349,0,0,0,0
390,2016,7,10,2.22,0.08,668.4345,-0.07,107.9487,0.05,12.7593,-0.05,9.6786
391,2016,8,29,1.92,0.19,780.7446,-0.02,343.3005,0.06,0,-0.04,10.0179
392,2016,9,24,3.25,0.16,809.4069,-0.03,377.5365,0.04,0.1323,-0.03,9.9828
393,2016,10,26,2.75,0.2,914.6916,-0.05,274.6593,0.03,0,-0.01,12.2985
394,2016,11,4,4.43,0.22,920.0232,-0.1,85.3749,0.01,1.1565,-0.02,12.8772
395,2016,12,37,0.8,0.25,884.4624,-0.05,250.3971,0.05,0,-0.03,14.9202
396,2017,1,40,0.8,0.18,849.564,0.02,588.1842,0.06,0,-0.05,11.9844
397,2017,2,30,5.48,0.15,802.3473,0.01,589.1427,0.06,0.8613,-0.05,8.208
398,2017,3,27,3.87,0.17,824.3064,-0.04,302.1336,0.06,0.5967,-0.05,8.6508
399,2017,4,0,7.03,0.18,858.8052,-0.09,48.3399,0.02,0.0009,0,8.0271
400,2017,5,26,7.67,0.26,884.3328,-0.12,26.6823,0.06,0.0009,-0.04,8.6013
401,2017,6,19,3.13,0.21,849.2544,-0.11,22.0545,0.06,15.0723,-0.07,3.9159
402,2017,7,6,4.11,0.06,552.8034,-0.1,55.8837,0.06,32.6403,-0.08,1.9539
403,2017,8,14,4.31,0.01,497.1735,0,367.6572,0.08,31.2705,-0.09,4.0266
404,2017,9,6,4.74,0.21,852.6078,-0.1,37.7568,0.02,0,-0.01,4.8987
405,2017,10,2,4.67,0.07,439.0011,-0.07,72.1782,0,4.2219,-0.01,4.5351
406,2017,11,25,4.58,0.28,876.8601,-0.11,23.6205,0.04,0,-0.03,6.8544
407,2017,12,28,1.74,0.25,975.8826,-0.08,74.268,0.04,0.0576,-0.03,6.8661
408,2018,1,13,1.02,0.06,444.5964,-0.07,128.0394,0.09,45.2322,-0.11,3.771
409,2018,2,15,1.88,0.14,636.2289,-0.04,255.096,0.02,0.0018,-0.02,2.2059
410,2018,3,29,7.59,0.21,938.7918,-0.03,287.1468,0.03,0,-0.02,9.1593
411,2018,4,2,10.1,0.12,719.2539,-0.13,20.6253,0.07,39.8529,-0.08,8.901
412,2018,5,14,8.7,0.22,845.1927,-0.13,5.5314,0.01,9.369,-0.03,6.4989
413,2018,6,19,4.26,0.26,882.3771,-0.12,3.6972,0.01,0.0099,-0.01,9.2007
414,2018,7,18,2.02,0.09,620.3628,-0.08,82.8144,0.1,42.8625,-0.12,6.0678
415,2018,8,32,3.43,0.23,885.8367,-0.05,260.0388,0.07,0,-0.06,9.3177
416,2018,9,35,2.35,0.25,899.6706,-0.05,243.9342,0.05,0,-0.03,14.0247
417,2018,10,6,6.88,0.17,848.9052,-0.07,116.2647,0.02,1.0512,-0.02,8.9109
418,2018,11,28,3.4,0.25,981.378,-0.08,115.1541,0.04,0.0441,-0.03,17.55
419,2018,12,20,5.42,0.22,873.0378,-0.09,44.4906,0.03,0.054,-0.02,16.4619
420,2019,1,33,0.84,0.25,930.987,-0.07,106.8597,0.05,0,-0.02,16.002
421,2019,2,26,2.93,0.11,649.3311,-0.03,311.5827,0.05,0.657,-0.04,9.2736
422,2019,3,32,3.17,0.2,921.4362,-0.02,373.1697,0.06,0.4338,-0.05,7.7256
423,2019,4,30,6.4,0.22,996.1992,-0.04,255.6405,0.04,0.0054,-0.03,7.4682
424,2019,5,28,7.21,0.29,914.8131,-0.12,19.1313,0.06,0.0027,-0.04,6.7095
425,2019,6,-6,4.46,-0.03,103.2129,-0.12,8.2737,0,0,0,0
426,2019,7,29,3.25,0.3,1010.7369,-0.12,12.9618,0.04,0,-0.02,10.3905
427,2019,8,27,3.64,0.21,900.1305,-0.07,131.6619,0.06,0.0297,-0.05,6.3504
428,2019,9,34,4.74,0.24,945.8883,-0.06,190.8423,0.06,0.0018,-0.04,8.4762
429,2019,10,10,10.57,0.12,717.7545,-0.09,77.7483,0.05,5.4171,-0.04,7.4529
430,2019,11,17,7.28,0.28,973.8855,-0.13,7.6284,0.02,0,0,11.8008
431,2019,12,5,8.2,0.12,619.4781,-0.15,3.4515,0.06,27.5211,-0.06,4.8483
432,2020,1,18,4.56,0.16,738.378,-0.09,78.6807,0.15,77.0931,-0.16,6.6717
433,2020,2,8,3.49,0.22,883.665,-0.12,8.181,0.03,12.9762,-0.03,10.5957
434,2020,3,18,8.46,0.17,757.3302,-0.09,49.1346,0.04,3.069,-0.03,8.2008
435,2020,4,0,9.14,0.17,759.4974,-0.15,5.8887,0,0.0819,0.02,17.6103
436,2020,5,-2,6.15,0.11,493.9398,-0.15,1.4031,0.01,12.4551,-0.04,0.5364
437,2020,6,26,4.79,0.26,887.9247,-0.15,6.1479,0.04,0,-0.03,13.7763
438,2020,7,27,3.87,0.27,960.651,-0.1,27.6264,0.06,0.5256,-0.05,11.0529
439,2020,8,18,4.48,0.15,818.9694,-0.07,60.2388,0.03,9.0639,-0.04,5.6907
440,2020,9,25,6.48,0.16,793.1331,-0.06,149.2299,0.08,3.4137,-0.07,8.0397
441,2020,10,28,8.55,0.25,915.5061,-0.1,44.1972,0.05,1.0098,-0.02,13.1733
442,2020,11,15,14.61,0.27,843.2217,-0.14,3.1014,0.02,0,0.01,13.7421
443,2020,12,25,2.79,0.28,909.1494,-0.12,10.4697,0.04,0.0144,-0.02,8.154
444,2021,1,26,2.97,0.27,879.2928,-0.1,38.1564,0.08,0,-0.06,6.282
445,2021,2,11,3.84,0.15,622.827,-0.08,58.6683,0.03,3.7854,-0.03,2.0277
446,2021,3,14,3.68,0.2,852.3432,-0.07,157.0266,0.05,0,-0.04,5.5188
447,2021,4,18,11.3,0.22,905.5602,-0.1,45.7326,0.05,0.0495,-0.03,6.6393
448,2021,5,20,8.07,0.29,869.3658,-0.13,12.4569,0.05,0.0567,-0.03,7.6401
449,2021,6,27,2.85,0.31,201.4623,-0.13,7.8885,0,0,0,0
450,2021,7,28,2,0.27,981.099,-0.1,56.133,0.07,0,-0.05,6.5025
451,2021,8,27,4.02,0.24,892.6461,-0.07,153.0882,0.08,0,-0.06,5.1705
452,2021,9,7,6,0.18,872.0334,-0.09,91.5228,0.05,8.6796,-0.04,1.6083
453,2021,10,22,4.41,0.25,957.7638,-0.1,32.2515,0.04,0,-0.01,6.0561
454,2021,11,14,3.87,0.23,954.9594,-0.11,34.5906,0.04,0.0027,-0.02,4.9995
455,2021,12,4,2.82,0.17,852.8472,-0.09,47.3769,0.07,38.4714,-0.1,0.9531
456,2022,1,14,4.31,0.24,992.0169,-0.09,96.4953,0,0,0.02,5.9166
457,2022,2,11,8.81,0.17,757.5786,-0.1,39.5523,0,0,0.01,1.2618
458,2022,3,26,4.93,0.21,931.5594,-0.05,253.143,0.03,0,-0.01,4.9671
459,2022,4,2,6.84,0.21,877.8861,-0.12,37.1169,-0.02,0,0.03,3.681
460,2022,5,23,7.78,0.28,1003.2183,-0.14,39.9654,0.01,0,0.01,6.0534
461,2022,6,27,3.4,0.31,1011.0429,-0.15,63.8316,0.04,0,-0.01,5.3208
462,2022,7,29,1.97,0.29,1010.2491,-0.11,85.0725,0.05,0,-0.01,5.4306
463,2022,8,13,5.98,0.17,236.3175,-0.11,16.4376,0,0,0,0
464,2022,9,13,0,0.23,933.6483,-0.09,89.1414,0.01,0,0.01,5.9958
465,2022,10,0,0,0,0,0,0,0,0,0,0
466,2022,11,0,0,0,0,0,0,0,0,0,0
467,2022,12,0,0,0,0,0,0,0,0,0,0
